customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn,AvgChargesPerMonth,MonthlyCharges
7590-VHVEG,0,0,1,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.85,0,29.85,29.85
5575-GNVDE,1,0,0,0,34,1,0,DSL,1,0,1,0,0,0,One year,0,Mailed check,1889.5,0,55.57352941,56.95
3668-QPYBK,1,0,0,0,2,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,108.15,1,54.075,53.85
7795-CFOCW,1,0,0,0,45,0,0,DSL,1,0,1,1,0,0,One year,0,Bank transfer (automatic),1840.75,0,40.90555556,42.3
9237-HQITU,0,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,151.65,1,75.825,70.7
9305-CDSKC,0,0,0,0,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,820.5,1,102.5625,99.65
1452-KIOVK,1,0,0,1,22,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),1949.4,0,88.60909091,89.1
6713-OKOMC,0,0,0,0,10,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,301.9,0,30.19,29.75
7892-POOKP,0,0,1,0,28,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,3046.05,1,108.7875,104.8
6388-TABGU,1,0,0,1,62,1,0,DSL,1,1,0,0,0,0,One year,0,Bank transfer (automatic),3487.95,0,56.25725806,56.15
9763-GRSKD,1,0,1,1,13,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,587.45,0,45.18846154,49.95
7469-LKBCI,1,0,0,0,16,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),326.8,0,20.425,18.95
8091-TTVAX,1,0,1,0,58,1,1,Fiber optic,0,0,1,0,1,1,One year,0,Credit card (automatic),5681.1,0,97.95,100.35
0280-XJGEX,1,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),5036.3,1,102.7816327,103.7
5129-JLPIS,1,0,0,0,25,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,2686.05,0,107.442,105.5
3655-SNQYZ,0,0,1,1,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),7895.15,0,114.4224638,113.25
8191-XWSZG,0,0,0,0,52,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,1022.95,0,19.67211538,20.65
9959-WOFKT,1,0,0,1,71,1,1,Fiber optic,1,0,1,0,1,1,Two year,0,Bank transfer (automatic),7382.25,0,103.9753521,106.7
4190-MFLUW,0,0,1,1,10,1,0,DSL,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),528.35,1,52.835,55.2
4183-MYFRB,0,0,0,0,21,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,1862.9,0,88.70952381,90.05
8779-QRDMV,1,1,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,1,39.65,39.65
1680-VDCWW,1,0,1,0,12,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),202.25,0,16.85416667,19.8
1066-JKSGK,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.15,1,20.15,20.15
3638-WEABW,0,0,1,0,58,1,1,DSL,0,1,0,1,0,0,Two year,1,Credit card (automatic),3505.1,0,60.43275862,59.9
6322-HRPFA,1,0,1,1,49,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),2970.3,0,60.61836735,59.6
6865-JZNKO,0,0,0,0,30,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1530.6,0,51.02,55.3
6467-CHFZW,1,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,4749.15,1,101.0457447,99.35
8665-UTDHZ,1,0,1,1,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,1,30.2,30.2
5248-YGIJN,1,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),6369.45,0,88.46458333,90.25
8773-HHUOZ,0,0,0,1,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,1093.1,1,64.3,64.7
3841-NFECX,0,1,1,0,71,1,1,Fiber optic,1,1,1,1,0,0,Two year,1,Credit card (automatic),6766.95,0,95.30915493,96.35
4929-XIHVW,1,1,1,0,2,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),181.65,0,90.825,95.5
6827-IEAUQ,0,0,1,1,27,1,0,DSL,1,1,1,1,0,0,One year,0,Mailed check,1874.45,0,69.42407407,66.15
7310-EGVHZ,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.2,0,20.2,20.2
3413-BMNZE,1,1,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,0,45.25,45.25
6234-RAAPL,0,0,1,1,72,1,1,Fiber optic,1,1,0,1,1,0,Two year,0,Bank transfer (automatic),7251.7,0,100.7180556,99.9
6047-YHPVI,1,0,0,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,316.9,1,63.38,69.7
6572-ADKRS,0,0,0,0,46,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),3548.3,0,77.13695652,74.8
5380-WJKOV,1,0,0,0,34,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,3549.25,1,104.3897059,106.35
8168-UQWWF,0,0,0,0,11,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),1105.4,1,100.4909091,97.85
8865-TNMNX,1,0,1,1,10,1,0,DSL,0,1,0,0,0,0,One year,0,Mailed check,475.7,0,47.57,49.55
9489-DEDVP,0,0,1,1,70,1,1,DSL,1,1,0,0,1,0,Two year,1,Credit card (automatic),4872.35,0,69.605,69.2
9867-JCZSP,0,0,1,1,17,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,418.25,0,24.60294118,20.75
4671-VJLCL,0,0,0,0,63,1,1,DSL,1,1,1,1,1,0,Two year,1,Credit card (automatic),4861.45,0,77.16587302,79.85
4080-IIARD,0,0,1,0,13,1,1,DSL,1,1,0,1,1,0,Month-to-month,1,Electronic check,981.45,0,75.49615385,76.2
3714-NTNFO,0,0,0,0,49,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,3906.7,0,79.72857143,84.5
5948-UJZLF,1,0,0,0,2,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,97,0,48.5,49.25
7760-OYPDY,0,0,0,0,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,144.15,1,72.075,80.65
7639-LIAYI,1,0,0,0,52,1,1,DSL,1,0,0,1,1,1,Two year,1,Credit card (automatic),4217.8,0,81.11153846,79.75
2954-PIBKO,0,0,1,1,69,1,1,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),4254.1,0,61.65362319,64.15
8012-SOUDQ,0,1,0,0,43,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,3838.75,0,89.27325581,90.25
9420-LOJKX,0,0,0,0,15,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),1426.4,1,95.09333333,99.1
6575-SUVOI,0,1,1,0,25,1,1,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),1752.65,0,70.106,69.5
7495-OOKFY,0,1,1,0,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),633.3,1,79.1625,80.65
4667-QONEA,0,1,1,1,60,1,0,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),4456.35,0,74.2725,74.85
1658-BYGOY,1,1,0,0,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1752.55,1,97.36388889,95.45
8769-KKTPH,0,0,1,1,63,1,1,Fiber optic,1,0,0,0,1,1,One year,1,Credit card (automatic),6311.2,0,100.1777778,99.65
5067-XJQFU,1,1,1,1,66,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Electronic check,7076.35,0,107.2174242,108.45
3957-SQXML,0,0,1,1,34,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),894.3,0,26.30294118,24.95
5954-BDFSG,0,0,0,0,72,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Credit card (automatic),7853.7,0,109.0791667,107.5
