customerID,ChurnProb,Predict_15pct,Predict_20pct,Churn,Contract,InternetService,tenure_bin,ClusterID
7216-EWTRS,0.9093180567992926,1,1,1,Month-to-month,Fiber optic,0-1y,2
0107-YHINA,0.9013214813745286,1,1,1,Month-to-month,Fiber optic,0-1y,2
5419-JPRRN,0.8986438935789656,1,1,1,Month-to-month,Fiber optic,0-1y,3
5419-CONWX,0.8942962034948937,1,1,1,Month-to-month,Fiber optic,0-1y,0
4844-JJWUY,0.8927705223903853,1,1,1,Month-to-month,Fiber optic,0-1y,3
6567-HOOPW,0.8927115519420629,1,1,1,Month-to-month,Fiber optic,0-1y,3
8580-AECUZ,0.8927115519420629,1,1,1,Month-to-month,Fiber optic,0-1y,3
1069-XAIEM,0.8908280204258225,1,1,1,Month-to-month,Fiber optic,0-1y,3
6230-BSUXY,0.8908280204258225,1,1,1,Month-to-month,Fiber optic,0-1y,3
4587-VVTOX,0.8899184801329917,1,1,1,Month-to-month,Fiber optic,0-1y,0
9300-AGZNL,0.8896977707617827,1,1,1,Month-to-month,Fiber optic,0-1y,3
1415-YFWLT,0.8896977707617827,1,1,1,Month-to-month,Fiber optic,0-1y,3
3988-RQIXO,0.8896977707617827,1,1,1,Month-to-month,Fiber optic,0-1y,3
9497-QCMMS,0.8896977707617827,1,1,1,Month-to-month,Fiber optic,0-1y,3
6894-LFHLY,0.8883607427093637,1,1,1,Month-to-month,Fiber optic,0-1y,3
9248-OJYKK,0.8883607427093637,1,1,1,Month-to-month,Fiber optic,0-1y,3
4826-XTSOH,0.8853622226770229,1,1,1,Month-to-month,Fiber optic,0-1y,1
3068-OMWZA,0.8853622226770229,1,1,1,Month-to-month,Fiber optic,0-1y,3
5192-EBGOV,0.8853622226770229,1,1,1,Month-to-month,Fiber optic,0-1y,3
5178-LMXOP,0.8851062046264465,1,1,1,Month-to-month,Fiber optic,0-1y,1
8603-IJWDN,0.8849748542295958,1,1,1,Month-to-month,Fiber optic,0-1y,3
0702-PGIBZ,0.8838109670892521,1,1,1,Month-to-month,Fiber optic,0-1y,0
2454-RPBRZ,0.8836430481141953,1,1,1,Month-to-month,Fiber optic,0-1y,0
8058-INTPH,0.8803398705084367,1,1,1,Month-to-month,Fiber optic,0-1y,3
1761-AEZZR,0.8803398705084367,1,1,1,Month-to-month,Fiber optic,0-1y,3
8740-CRYFY,0.8803398705084367,1,1,1,Month-to-month,Fiber optic,0-1y,3
2514-GINMM,0.8803398705084367,1,1,1,Month-to-month,Fiber optic,0-1y,3
5960-WPXQM,0.8803398705084367,1,1,1,Month-to-month,Fiber optic,0-1y,3
1875-QIVME,0.8787102575614574,1,1,1,Month-to-month,Fiber optic,0-1y,0
2868-MZAGQ,0.8783537680505068,1,1,1,Month-to-month,Fiber optic,0-1y,3
0495-RVCBF,0.8783537680505068,1,1,1,Month-to-month,Fiber optic,0-1y,3
8775-LHDJH,0.8773332855988926,1,1,1,Month-to-month,Fiber optic,0-1y,1
1455-UGQVH,0.8771609121594783,1,1,1,Month-to-month,Fiber optic,0-1y,0
8149-RSOUN,0.8770264359021485,1,1,1,Month-to-month,Fiber optic,0-1y,3
7274-RTAPZ,0.8770264359021485,1,1,1,Month-to-month,Fiber optic,0-1y,3
7577-SWIFR,0.8770264359021485,1,1,0,Month-to-month,Fiber optic,0-1y,3
4910-GMJOT,0.8770264359021485,1,1,1,Month-to-month,Fiber optic,0-1y,3
2725-KXXWT,0.8770264359021485,1,1,1,Month-to-month,Fiber optic,0-1y,1
1455-ESIQH,0.8770264359021485,1,1,1,Month-to-month,Fiber optic,0-1y,3
0970-ETWGE,0.8770264359021485,1,1,1,Month-to-month,Fiber optic,0-1y,3
3027-ZTDHO,0.8770264359021485,1,1,1,Month-to-month,Fiber optic,0-1y,3
3722-WPXTK,0.8770264359021485,1,1,1,Month-to-month,Fiber optic,0-1y,3
9282-IZGQK,0.8731374622073473,1,1,1,Month-to-month,Fiber optic,0-1y,3
5597-GLBUC,0.872264334860973,1,1,1,Month-to-month,Fiber optic,0-1y,3
2202-CUYXZ,0.872264334860973,1,1,1,Month-to-month,Fiber optic,0-1y,3
4912-PIGUY,0.872264334860973,1,1,0,Month-to-month,Fiber optic,0-1y,3
0295-PPHDO,0.8719832950899371,1,1,1,Month-to-month,Fiber optic,0-1y,3
2609-IAICY,0.8703285760960474,1,1,1,Month-to-month,Fiber optic,0-1y,3
5919-TMRGD,0.8702377944346787,1,1,1,Month-to-month,Fiber optic,0-1y,1
1400-MMYXY,0.8699015616161292,1,1,1,Month-to-month,Fiber optic,0-1y,0
7594-RQHXR,0.868109139534596,1,1,1,Month-to-month,Fiber optic,0-1y,1
9725-SCPZG,0.8666869900543516,1,1,1,Month-to-month,Fiber optic,0-1y,1
4273-MBHYA,0.8666869900543516,1,1,0,Month-to-month,Fiber optic,0-1y,1
6521-YYTYI,0.8666869900543516,1,1,1,Month-to-month,Fiber optic,0-1y,1
1941-HOSAM,0.8666869900543516,1,1,0,Month-to-month,Fiber optic,0-1y,1
7493-TPUWZ,0.8649107403793102,1,1,1,Month-to-month,Fiber optic,0-1y,3
9300-RENDD,0.8646133706181935,1,1,1,Month-to-month,Fiber optic,0-1y,3
7439-DKZTW,0.8646133706181935,1,1,0,Month-to-month,Fiber optic,0-1y,3
0318-QUUOB,0.8646133706181935,1,1,1,Month-to-month,Fiber optic,0-1y,1
5494-HECPR,0.8646133706181935,1,1,1,Month-to-month,Fiber optic,0-1y,3
3776-EKTKM,0.8635598935641102,1,1,1,Month-to-month,DSL,0-1y,3
1628-BIZYP,0.8626765492321093,1,1,0,Month-to-month,Fiber optic,0-1y,3
4614-NUVZD,0.8624070390426931,1,1,1,Month-to-month,Fiber optic,0-1y,3
6457-USBER,0.8624070390426931,1,1,1,Month-to-month,Fiber optic,0-1y,3
2004-OCQXK,0.8624070390426931,1,1,1,Month-to-month,Fiber optic,0-1y,3
8473-VUVJN,0.8620754642722639,1,1,1,Month-to-month,Fiber optic,0-1y,3
0021-IKXGC,0.8620754642722639,1,1,0,Month-to-month,Fiber optic,0-1y,3
8644-XLFBW,0.8620754642722639,1,1,1,Month-to-month,Fiber optic,0-1y,3
6513-EECDB,0.8620754642722639,1,1,1,Month-to-month,Fiber optic,0-1y,1
3878-AVSOQ,0.8620754642722639,1,1,0,Month-to-month,Fiber optic,0-1y,3
9488-HGMJH,0.8620754642722639,1,1,1,Month-to-month,Fiber optic,0-1y,3
2108-YKQTY,0.8618434390205667,1,1,1,Month-to-month,DSL,0-1y,0
4988-IQIGL,0.8617907180827733,1,1,1,Month-to-month,Fiber optic,0-1y,3
1833-VGRUM,0.8617907180827733,1,1,1,Month-to-month,Fiber optic,0-1y,3
5240-IJOQT,0.8617907180827733,1,1,1,Month-to-month,Fiber optic,0-1y,3
3551-HUAZH,0.8617907180827733,1,1,1,Month-to-month,Fiber optic,0-1y,3
0723-DRCLG,0.8617907180827733,1,1,1,Month-to-month,Fiber optic,0-1y,1
4102-OQUPX,0.8617907180827733,1,1,1,Month-to-month,Fiber optic,0-1y,1
5196-SGOAK,0.8614115373291118,1,1,1,Month-to-month,Fiber optic,0-1y,3
8779-QRDMV,0.8599757857946901,1,1,1,Month-to-month,DSL,0-1y,3
8051-HJRLT,0.85990789429572,1,1,1,Month-to-month,Fiber optic,0-1y,3
5539-TMZLF,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,3
8000-REIQB,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,3
2506-TNFCO,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,1
9605-WGJVW,0.8576652569308458,1,1,0,Month-to-month,Fiber optic,0-1y,3
4871-JTKJF,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,3
1846-XWOQN,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,3
7206-GZCDC,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,3
9603-OAIHC,0.8576652569308458,1,1,0,Month-to-month,Fiber optic,0-1y,3
5550-VFRLC,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,3
8375-DKEBR,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,3
1363-TXLSL,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,1
8062-YBDOE,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,3
2636-ALXXZ,0.8576652569308458,1,1,1,Month-to-month,Fiber optic,0-1y,3
1624-NALOJ,0.856183373135259,1,1,1,Month-to-month,Fiber optic,0-1y,0
3178-FESZO,0.8553549827810046,1,1,1,Month-to-month,Fiber optic,0-1y,3
9124-LHCJQ,0.8532862063446082,1,1,1,Month-to-month,Fiber optic,0-1y,3
1977-STDKI,0.8526869507051431,1,1,1,Month-to-month,Fiber optic,0-1y,3
2018-QKYGT,0.8510471764769716,1,1,0,Month-to-month,Fiber optic,0-1y,1
7409-KIUTL,0.8506929658733428,1,1,1,Month-to-month,Fiber optic,0-1y,1
6023-YEBUP,0.8502329790288552,1,1,1,Month-to-month,Fiber optic,0-1y,0
7450-NWRTR,0.8481802565975033,1,1,1,Month-to-month,Fiber optic,0-1y,3
1768-ZAIFU,0.8479438124863912,1,1,1,Month-to-month,DSL,0-1y,3
0023-HGHWL,0.8479438124863912,1,1,1,Month-to-month,DSL,0-1y,3
7932-WPTDS,0.8479438124863912,1,1,1,Month-to-month,DSL,0-1y,1
0742-NXBGR,0.8475076997356275,1,1,1,Month-to-month,Fiber optic,0-1y,3
7314-OXENN,0.8462481363796032,1,1,1,Month-to-month,Fiber optic,0-1y,0
9681-OXGVC,0.8460625548341029,1,1,1,Month-to-month,Fiber optic,0-1y,0
0679-IDSTG,0.8459838217100087,1,1,1,Month-to-month,Fiber optic,0-1y,1
7074-IEVOJ,0.8449280624730016,1,1,1,Month-to-month,Fiber optic,0-1y,0
9885-CSMWE,0.8444843956294542,1,1,1,Month-to-month,Fiber optic,0-1y,3
9317-WZPGV,0.8423393435068224,1,1,1,Month-to-month,Fiber optic,0-1y,3
4713-LZDRV,0.8409719855730973,1,1,1,Month-to-month,Fiber optic,0-1y,0
8382-SHQEH,0.8407027642037442,1,1,1,Month-to-month,Fiber optic,0-1y,0
6702-OHFWR,0.8405699642443428,1,1,1,Month-to-month,DSL,0-1y,3
1031-IIDEO,0.8405596494147278,1,1,1,Month-to-month,Fiber optic,0-1y,3
8816-VXNZD,0.840238715578584,1,1,1,Month-to-month,Fiber optic,0-1y,3
4415-IJZTP,0.840238715578584,1,1,1,Month-to-month,Fiber optic,0-1y,3
9787-XVQIU,0.840238715578584,1,1,1,Month-to-month,Fiber optic,0-1y,3
5834-ASPWA,0.840238715578584,1,1,1,Month-to-month,Fiber optic,0-1y,3
1452-VOQCH,0.840238715578584,1,1,0,Month-to-month,Fiber optic,0-1y,3
1157-BQCUW,0.840238715578584,1,1,1,Month-to-month,Fiber optic,0-1y,3
6996-KNSML,0.840238715578584,1,1,1,Month-to-month,Fiber optic,0-1y,3
6358-LYNGM,0.840238715578584,1,1,1,Month-to-month,Fiber optic,0-1y,3
2012-NWRPA,0.840025382294968,1,1,1,Month-to-month,Fiber optic,0-1y,0
7209-JCUDS,0.839885105166425,1,1,1,Month-to-month,Fiber optic,0-1y,0
9507-EXLTT,0.8387173980460595,1,1,1,Month-to-month,Fiber optic,0-1y,1
5376-DEQCP,0.8381174406869409,1,1,1,Month-to-month,Fiber optic,0-1y,3
9305-CDSKC,0.8360832654438914,1,1,1,Month-to-month,Fiber optic,0-1y,0
3428-XZMAZ,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
6653-CBBOM,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
1447-GIQMR,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,1
9728-FTTVZ,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
1820-TQVEV,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
3244-DCJWY,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
4603-JANFB,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
0488-GSLFR,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
7254-IQWOZ,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
4806-HIPDW,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,1
4702-IOQDC,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
1640-PLFMP,0.8355926681624974,1,1,0,Month-to-month,Fiber optic,0-1y,3
3494-JCHRQ,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
9804-ICWBG,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
6502-MJQAE,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
5875-YPQFJ,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
7465-ZZRVX,0.8355926681624974,1,1,0,Month-to-month,Fiber optic,0-1y,3
0328-GRPMV,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
6457-GIRWB,0.8355926681624974,1,1,1,Month-to-month,Fiber optic,0-1y,3
